2016 rank,City,State[5],2016 estimate,2010 Census,Change,2014 land area,2010 population density,Location
1,New York[6],New York,"8,537,673","8,175,133",+4.43%,"302.6 sq mi
783.8 km2","27,012 per sq mi
10,430 km−2",40.6643°N 73.9385°W
2,Los Angeles,California,"3,976,322","3,792,621",+4.84%,"468.7 sq mi
1,213.9 km2","8,092 per sq mi
3,124 km−2",34.0194°N 118.4108°W
3,Chicago,Illinois,"2,704,958","2,695,598",+0.35%,"227.6 sq mi
589.6 km2","11,842 per sq mi
4,572 km−2",41.8376°N 87.6818°W
4,Houston[7],Texas,"2,303,482","2,100,263",+9.68%,"599.6 sq mi
1,552.9 km2","3,501 per sq mi
1,352 km−2",29.7805°N 95.3863°W
5,Phoenix,Arizona,"1,615,017","1,445,632",+11.72%,"516.7 sq mi
1,338.3 km2","2,798 per sq mi
1,080 km−2",33.5722°N 112.0880°W
6,Philadelphia[8],Pennsylvania,"1,567,872","1,526,006",+2.74%,"134.1 sq mi
347.3 km2","11,379 per sq mi
4,394 km−2",40.0094°N 75.1333°W
7,San Antonio,Texas,"1,492,510","1,327,407",+12.44%,"460.9 sq mi
1,193.8 km2","2,880 per sq mi
1,112 km−2",29.4724°N 98.5251°W
8,San Diego,California,"1,406,630","1,307,402",+7.59%,"325.2 sq mi
842.2 km2","4,020 per sq mi
1,552 km−2",32.8153°N 117.1350°W
9,Dallas,Texas,"1,317,929","1,197,816",+10.03%,"340.5 sq mi
881.9 km2","3,518 per sq mi
1,358 km−2",32.7757°N 96.7967°W
10,San Jose,California,"1,025,350","945,942",+8.39%,"176.6 sq mi
457.3 km2","5,359 per sq mi
2,069 km−2",37.2969°N 121.8193°W
11,Austin,Texas,"947,890","790,390",+19.93%,"322.48 sq mi
835.2 km2","2,653 per sq mi
1,024 km−2",30.3072°N 97.7560°W
12,Jacksonville[9],Florida,"880,619","821,784",+7.16%,"747.0 sq mi
1,934.7 km2","1,120 per sq mi
433 km−2",30.3370°N 81.6613°W
13,San Francisco[10],California,"870,887","805,235",+8.15%,"46.9 sq mi
121.4 km2","17,179 per sq mi
6,633 km−2",37.7751°N 122.4193°W
14,Columbus,Ohio,"860,090","787,033",+9.28%,"217.2 sq mi
562.5 km2","3,624 per sq mi
1,399 km−2",39.9848°N 82.9850°W
15,Indianapolis[11],Indiana,"855,164","820,445",+4.23%,"361.4 sq mi
936.1 km2","2,270 per sq mi
876 km−2",39.7767°N 86.1459°W
16,Fort Worth,Texas,"854,113","741,206",+15.23%,"339.8 sq mi
880.1 km2","2,181 per sq mi
842 km−2",32.7795°N 97.3463°W
17,Charlotte,North Carolina,"842,051","731,424",+15.12%,"297.7 sq mi
771.0 km2","2,457 per sq mi
949 km−2",35.2087°N 80.8307°W
18,Seattle,Washington,"704,352","608,660",+15.72%,"83.9 sq mi
217.4 km2","7,251 per sq mi
2,800 km−2",47.6205°N 122.3509°W
19,Denver[12],Colorado,"693,060","600,158",+15.48%,"153.0 sq mi
396.3 km2","3,923 per sq mi
1,515 km−2",39.7618°N 104.8806°W
20,El Paso,Texas,"683,080","649,121",+5.23%,"255.2 sq mi
661.1 km2","2,543 per sq mi
982 km−2",31.8484°N 106.4270°W
21,Washington[13],District of Columbia,"681,170","601,723",+13.20%,"61.0 sq mi
158.1 km2","9,856 per sq mi
3,806 km−2",38.9041°N 77.0171°W
22,Boston,Massachusetts,"673,184","617,594",+9.00%,"48.3 sq mi
125.0 km2","12,793 per sq mi
4,939 km−2",42.3320°N 71.0202°W
23,Detroit,Michigan,"672,795","713,777",−5.74%,"138.8 sq mi
359.4 km2","5,144 per sq mi
1,986 km−2",42.3830°N 83.1022°W
24,Nashville[14],Tennessee,"660,388","601,222",+9.84%,"475.1 sq mi
1,230.8 km2","1,265 per sq mi
489 km−2",36.1718°N 86.7850°W
25,Memphis,Tennessee,"652,717","646,889",+0.90%,"315.1 sq mi
816.0 km2","2,053 per sq mi
793 km−2",35.1035°N 89.9785°W
26,Portland,Oregon,"639,863","583,776",+9.61%,"133.4 sq mi
345.6 km2","4,375 per sq mi
1,689 km−2",45.5370°N 122.6500°W
27,Oklahoma City,Oklahoma,"638,367","579,999",+10.06%,"606.4 sq mi
1,570.6 km2","956 per sq mi
369 km−2",35.4671°N 97.5137°W
28,Las Vegas,Nevada,"632,912","583,756",+8.42%,"135.8 sq mi
351.8 km2","4,298 per sq mi
1,660 km−2",36.2277°N 115.2640°W
29,Louisville[15],Kentucky,"616,261","597,337",+3.17%,"325.2 sq mi
842.4 km2","1,837 per sq mi
709 km−2",38.1781°N 85.6667°W
30,Baltimore[16],Maryland,"614,664","620,961",−1.01%,"80.9 sq mi
209.6 km2","7,672 per sq mi
2,962 km−2",39.3002°N 76.6105°W
31,Milwaukee,Wisconsin,"595,047","594,833",+0.04%,"96.1 sq mi
249.0 km2","6,188 per sq mi
2,389 km−2",43.0633°N 87.9667°W
32,Albuquerque,New Mexico,"559,277","545,852",+2.46%,"187.7 sq mi
486.2 km2","2,908 per sq mi
1,123 km−2",35.1056°N 106.6474°W
33,Tucson,Arizona,"530,706","520,116",+2.04%,"226.7 sq mi
587.2 km2","2,294 per sq mi
886 km−2",32.1543°N 110.8711°W
34,Fresno,California,"522,053","494,665",+5.54%,"113.2 sq mi
293.2 km2","4,418 per sq mi
1,706 km−2",36.7827°N 119.7945°W
35,Sacramento,California,"495,234","466,488",+6.16%,"97.9 sq mi
253.6 km2","4,764 per sq mi
1,839 km−2",38.5666°N 121.4686°W
36,Mesa,Arizona,"484,587","439,041",+10.37%,"136.5 sq mi
353.4 km2","3,218 per sq mi
1,242 km−2",33.4019°N 111.7174°W
37,Kansas City,Missouri,"481,420","459,787",+4.71%,"315.0 sq mi
815.7 km2","1,460 per sq mi
564 km−2",39.1252°N 94.5511°W
38,Atlanta,Georgia,"472,522","420,003",+12.50%,"133.2 sq mi
344.9 km2","3,154 per sq mi
1,218 km−2",33.7629°N 84.4227°W
39,Long Beach,California,"470,130","462,257",+1.70%,"50.3 sq mi
130.3 km2","9,191 per sq mi
3,549 km−2",33.8091°N 118.1553°W
40,Colorado Springs,Colorado,"465,101","416,427",+11.69%,"194.5 sq mi
503.9 km2","2,141 per sq mi
826 km−2",38.8673°N 104.7607°W
41,Raleigh,North Carolina,"458,880","403,892",+13.61%,"142.9 sq mi
370.1 km2","2,826 per sq mi
1,091 km−2",35.8302°N 78.6414°W
42,Miami,Florida,"453,579","399,457",+13.55%,"35.9 sq mi
92.9 km2","11,539 per sq mi
4,455 km−2",25.7752°N 80.2086°W
43,Virginia Beach[16],Virginia,"452,602","437,994",+3.34%,"249.0 sq mi
644.9 km2","1,759 per sq mi
679 km−2",36.7793°N 76.0240°W
44,Omaha,Nebraska,"446,970","408,958",+9.29%,"127.1 sq mi
329.2 km2","3,218 per sq mi
1,242 km−2",41.2647°N 96.0419°W
45,Oakland,California,"420,005","390,724",+7.49%,"55.9 sq mi
144.8 km2","7,004 per sq mi
2,704 km−2",37.7699°N 122.2256°W
46,Minneapolis,Minnesota,"413,651","382,578",+8.12%,"54.0 sq mi
139.8 km2","7,088 per sq mi
2,737 km−2",44.9633°N 93.2683°W
47,Tulsa,Oklahoma,"403,090","391,906",+2.85%,"196.8 sq mi
509.6 km2","1,992 per sq mi
769 km−2",36.1279°N 95.9023°W
48,Arlington,Texas,"392,772","365,438",+7.48%,"95.9 sq mi
248.3 km2","3,811 per sq mi
1,472 km−2",32.7007°N 97.1247°W
49,New Orleans[17],Louisiana,"391,495","343,829",+13.86%,"169.4 sq mi
438.8 km2","2,029 per sq mi
784 km−2",30.0686°N 89.9390°W
50,Wichita,Kansas,"389,902","382,368",+1.97%,"159.3 sq mi
412.6 km2","2,400 per sq mi
927 km−2",37.6907°N 97.3427°W
51,Cleveland,Ohio,"385,809","396,815",−2.77%,"77.7 sq mi
201.2 km2","5,107 per sq mi
1,972 km−2",41.4781°N 81.6795°W
52,Tampa,Florida,"377,165","335,709",+12.35%,"113.4 sq mi
293.7 km2","3,077 per sq mi
1,182 km−2",27.9701°N 82.4797°W
53,Bakersfield,California,"376,380","347,483",+8.32%,"142.2 sq mi
368.2 km2","2,444 per sq mi
944 km−2",35.3212°N 119.0183°W
54,Aurora,Colorado,"361,710","325,078",+11.27%,"154.1 sq mi
369.1 km2","2,110 per sq mi
881 km−2",39.7082°N 104.8235°W
55,Honolulu[2],Hawaii,"351,792","337,256",+4.31%,"60.5 sq mi
156.7 km2","5,573 per sq mi
2,152 km−2",21.3259°N 157.8453°W
56,Anaheim,California,"351,043","336,265",+4.39%,"49.8 sq mi
129.1 km2","6,748 per sq mi
2,605 km−2",33.8555°N 117.7601°W
57,Santa Ana,California,"334,217","324,528",+2.99%,"27.3 sq mi
70.6 km2","11,901 per sq mi
4,595 km−2",33.7365°N 117.8826°W
58,Corpus Christi,Texas,"325,733","305,215",+6.72%,"160.6 sq mi
416.0 km2","1,900 per sq mi
734 km−2",27.7543°N 97.1734°W
59,Riverside,California,"324,722","303,871",+6.86%,"81.1 sq mi
210.2 km2","3,745 per sq mi
1,446 km−2",33.9381°N 117.3932°W
60,Lexington[18],Kentucky,"318,449","295,803",+7.66%,"283.6 sq mi
734.6 km2","1,043 per sq mi
403 km−2",38.0402°N 84.4584°W
61,St. Louis[16],Missouri,"311,404","319,294",−2.47%,"61.9 sq mi
160.3 km2","5,157 per sq mi
1,991 km−2",38.6357°N 90.2446°W
62,Stockton,California,"307,072","291,707",+5.27%,"61.7 sq mi
159.7 km2","4,730 per sq mi
1,826 km−2",37.9763°N 121.3133°W
63,Pittsburgh,Pennsylvania,"303,625","305,704",−0.68%,"55.4 sq mi
143.4 km2","5,521 per sq mi
2,132 km−2",40.4398°N 79.9766°W
64,Saint Paul,Minnesota,"302,398","285,068",+6.08%,"52.0 sq mi
134.6 km2","5,484 per sq mi
2,118 km−2",44.9489°N 93.1039°W
65,Cincinnati,Ohio,"298,800","296,943",+0.63%,"77.9 sq mi
201.9 km2","3,810 per sq mi
1,471 km−2",39.1399°N 84.5064°W
66,Anchorage[19],Alaska,"298,192","291,826",+2.18%,"1,704.7 sq mi
4,415.1 km2","171 per sq mi
66 km−2",61.2176°N 149.8953°W
67,Henderson,Nevada,"292,969","257,729",+13.67%,"107.7 sq mi
279.0 km2","2,392 per sq mi
924 km−2",36.0122°N 115.0375°W
68,Greensboro,North Carolina,"287,027","269,666",+6.44%,"126.5 sq mi
327.7 km2","2,131 per sq mi
823 km−2",36.0965°N 79.8271°W
69,Plano,Texas,"286,057","259,841",+10.09%,"71.6 sq mi
185.4 km2","3,630 per sq mi
1,402 km−2",33.0508°N 96.7479°W
70,Newark,New Jersey,"281,764","277,140",+1.67%,"24.2 sq mi
62.6 km2","11,458 per sq mi
4,424 km−2",40.7242°N 74.1726°W
71,Lincoln,Nebraska,"280,364","258,379",+8.51%,"89.1 sq mi
230.8 km2","2,899 per sq mi
1,119 km−2",40.8090°N 96.6804°W
72,Toledo,Ohio,"278,508","287,208",−3.03%,"80.7 sq mi
209.0 km2","3,559 per sq mi
1,374 km−2",41.6641°N 83.5819°W
73,Orlando,Florida,"277,173","238,300",+16.31%,"102.4 sq mi
265.2 km2","2,327 per sq mi
899 km−2",28.4159°N 81.2988°W
74,Chula Vista,California,"267,172","243,916",+9.53%,"49.6 sq mi
128.5 km2","4,915 per sq mi
1,898 km−2",32.6277°N 117.0152°W
75,Irvine,California,"266,122","212,375",+25.31%,"66.1 sq mi
171.2 km2","3,213 per sq mi
1,240 km−2",33.6784°N 117.7713°W
76,Fort Wayne,Indiana,"264,488","253,691",+4.26%,"110.6 sq mi
286.5 km2","2,293 per sq mi
885 km−2",41.0882°N 85.1439°W
77,Jersey City,New Jersey,"264,152","247,597",+6.69%,"14.8 sq mi
38.3 km2","16,737 per sq mi
6,462 km−2",40.7114°N 74.0648°W
78,Durham,North Carolina,"263,016","228,330",+15.19%,"107.4 sq mi
278.1 km2","2,127 per sq mi
821 km−2",35.9810°N 78.9056°W
79,St. Petersburg,Florida,"260,999","244,769",+6.63%,"61.7 sq mi
159.9 km2","3,964 per sq mi
1,531 km−2",27.7620°N 82.6441°W
80,Laredo,Texas,"257,156","236,091",+8.92%,"88.9 sq mi
230.3 km2","2,655 per sq mi
1,025 km−2",27.5477°N 99.4869°W
81,Buffalo,New York,"256,902","261,310",−1.69%,"40.4 sq mi
104.6 km2","6,471 per sq mi
2,498 km−2",42.8925°N 78.8597°W
82,Madison,Wisconsin,"252,551","233,209",+8.29%,"76.8 sq mi
198.9 km2","3,037 per sq mi
1,173 km−2",43.0878°N 89.4301°W
83,Lubbock,Texas,"252,506","229,573",+9.99%,"122.4 sq mi
317.0 km2","1,875 per sq mi
724 km−2",33.5665°N 101.8867°W
84,Chandler,Arizona,"247,477","236,123",+4.81%,"64.4 sq mi
166.8 km2","3,666 per sq mi
1,415 km−2",33.2829°N 111.8549°W
85,Scottsdale,Arizona,"246,645","217,385",+13.46%,"183.9 sq mi
476.4 km2","1,182 per sq mi
456 km−2",33.6687°N 111.8237°W
86,Glendale,Arizona,"245,895","226,721",+8.46%,"60.0 sq mi
155.3 km2","3,780 per sq mi
1,460 km−2",33.5331°N 112.1899°W
87,Reno,Nevada,"245,255","225,221",+8.90%,"103.0 sq mi
266.8 km2","2,186 per sq mi
844 km−2",39.4745°N 119.7765°W
88,Norfolk[16],Virginia,"245,115","242,803",+0.95%,"54.1 sq mi
140.2 km2","4,486 per sq mi
1,732 km−2",36.9230°N 76.2446°W
89,Winston–Salem,North Carolina,"242,203","229,617",+5.48%,"132.4 sq mi
343.0 km2","1,734 per sq mi
669 km−2",36.1033°N 80.2606°W
90,North Las Vegas,Nevada,"238,702","216,961",+10.02%,"101.3 sq mi
262.5 km2","2,141 per sq mi
827 km−2",36.2830°N 115.0893°W
91,Irving,Texas,"238,289","216,290",+10.17%,"67.0 sq mi
173.6 km2","3,227 per sq mi
1,246 km−2",32.8577°N 96.9700°W
92,Chesapeake[16],Virginia,"237,940","222,209",+7.08%,"340.8 sq mi
882.7 km2","652 per sq mi
252 km−2",36.6794°N 76.3018°W
93,Gilbert[20],Arizona,"237,133","208,453",+13.76%,"68.0 sq mi
176.0 km2","3,067 per sq mi
1,184 km−2",33.3102°N 111.7422°W
94,Hialeah,Florida,"236,387","224,669",+5.22%,"21.5 sq mi
55.6 km2","10,474 per sq mi
4,044 km−2",25.8699°N 80.3029°W
95,Garland,Texas,"234,943","226,876",+3.56%,"57.1 sq mi
147.8 km2","3,974 per sq mi
1,535 km−2",32.9098°N 96.6304°W
96,Fremont,California,"233,136","214,089",+8.90%,"77.5 sq mi
200.6 km2","2,764 per sq mi
1,067 km−2",37.4944°N 121.9411°W
97,Baton Rouge[21],Louisiana,"227,715","229,493",−0.77%,"76.9 sq mi
199.3 km2","2,982 per sq mi
1,152 km−2",30.4485°N 91.1259°W
98,Richmond[16],Virginia,"223,170","204,214",+9.28%,"59.8 sq mi
154.9 km2","3,415 per sq mi
1,318 km−2",37.5314°N 77.4760°W
99,Boise[22],Idaho,"223,154","205,671",+8.50%,"79.4 sq mi
205.56 km2","2,592 per sq mi
1,001 km−2",43.5985°N 116.2311°W
100,San Bernardino,California,"216,239","209,924",+3.01%,"59.2 sq mi
153.3 km2","3,546 per sq mi
1,369 km−2",34.1393°N 117.2953°W
101,Spokane,Washington,"215,973","208,916",+3.38%,"59.2 sq mi
153.4 km2","3,526 per sq mi
1,361 km−2",47.6736°N 117.4166°W
102,Des Moines,Iowa,"215,472","203,433",+5.92%,"80.9 sq mi
209.5 km2","2,516 per sq mi
971 km−2",41.5739°N 93.6167°W
103,Modesto,California,"212,175","201,165",+5.47%,"36.9 sq mi
95.5 km2","5,456 per sq mi
2,107 km−2",37.6609°N 120.9891°W
104,Birmingham,Alabama,"212,157","212,237",−0.04%,"146.1 sq mi
378.3 km2","1,453 per sq mi
561 km−2",33.5274°N 86.7990°W
105,Tacoma,Washington,"211,277","198,397",+6.49%,"49.7 sq mi
128.8 km2","3,990 per sq mi
1,541 km−2",47.2522°N 122.4598°W
106,Fontana,California,"209,665","196,069",+6.93%,"42.4 sq mi
109.9 km2","4,621 per sq mi
1,784 km−2",34.1088°N 117.4627°W
107,Rochester,New York,"208,880","210,565",−0.80%,"35.8 sq mi
92.7 km2","5,885 per sq mi
2,272 km−2",43.1699°N 77.6169°W
108,Oxnard,California,"207,906","197,899",+5.06%,"26.9 sq mi
69.7 km2","7,358 per sq mi
2,841 km−2",34.2023°N 119.2046°W
109,Moreno Valley,California,"205,499","193,365",+6.28%,"51.3 sq mi
132.8 km2","3,771 per sq mi
1,456 km−2",33.9233°N 117.2057°W
110,Fayetteville,North Carolina,"204,759","200,564",+2.09%,"145.8 sq mi
377.7 km2","1,375 per sq mi
531 km−2",35.0851°N 78.9803°W
111,Aurora,Illinois,"201,110","197,899",+1.62%,"44.9 sq mi
116.4 km2","4,404 per sq mi
1,700 km−2",41.7635°N 88.2901°W
112,Glendale,California,"200,831","191,719",+4.75%,"30.5 sq mi
78.9 km2","6,295 per sq mi
2,431 km−2",34.1814°N 118.2458°W
113,Yonkers,New York,"200,807","195,976",+2.47%,"18.0 sq mi
46.7 km2","10,880 per sq mi
4,201 km−2",40.9459°N 73.8674°W
114,Huntington Beach,California,"200,652","189,992",+5.61%,"26.7 sq mi
69.3 km2","7,103 per sq mi
2,742 km−2",33.6906°N 118.0093°W
115,Montgomery,Alabama,"200,022","205,764",−2.79%,"159.6 sq mi
413.3 km2","1,290 per sq mi
498 km−2",32.3463°N 86.2686°W
116,Amarillo,Texas,"199,582","190,695",+4.66%,"99.5 sq mi
257.6 km2","1,917 per sq mi
740 km−2",35.1978°N 101.8287°W
117,Little Rock,Arkansas,"198,541","193,524",+2.59%,"119.2 sq mi
308.7 km2","1,624 per sq mi
627 km−2",34.7254°N 92.3586°W
118,Akron,Ohio,"197,633","199,110",−0.74%,"62.0 sq mi
160.7 km2","3,210 per sq mi
1,239 km−2",41.0805°N 81.5214°W
119,Columbus[23],Georgia,"197,485","189,885",+4.00%,"216.4 sq mi
560.4 km2","878 per sq mi
339 km−2",32.5102°N 84.8749°W
120,Augusta[24],Georgia,"197,081","195,844",+0.63%,"302.5 sq mi
783.4 km2","647 per sq mi
250 km−2",33.3655°N 82.0734°W
121,Grand Rapids,Michigan,"196,445","188,040",+4.47%,"44.4 sq mi
115.0 km2","4,236 per sq mi
1,635 km−2",42.9612°N 85.6556°W
122,Shreveport,Louisiana,"194,920","199,311",−2.20%,"105.4 sq mi
272.9 km2","1,891 per sq mi
730 km−2",32.4670°N 93.7927°W
123,Salt Lake City,Utah,"193,744","186,440",+3.92%,"111.1 sq mi
287.8 km2","1,678 per sq mi
648 km−2",40.7785°N 111.9314°W
124,Huntsville,Alabama,"193,079","180,105",+7.20%,"209.1 sq mi
541.4 km2","862 per sq mi
333 km−2",34.7843°N 86.5390°W
125,Mobile,Alabama,"192,904","195,111",−1.13%,"139.1 sq mi
360.3 km2","1,403 per sq mi
542 km−2",30.6684°N 88.1002°W
126,Tallahassee,Florida,"190,894","181,376",+5.25%,"100.2 sq mi
259.6 km2","1,809 per sq mi
699 km−2",30.4551°N 84.2534°W
127,Grand Prairie,Texas,"190,682","175,396",+8.72%,"72.1 sq mi
186.8 km2","2,433 per sq mi
939 km−2",32.6842°N 97.0210°W
128,Overland Park,Kansas,"188,966","173,372",+8.99%,"74.8 sq mi
193.8 km2","2,317 per sq mi
894 km−2",38.8890°N 94.6906°W
129,Knoxville,Tennessee,"186,239","178,874",+4.12%,"98.5 sq mi
255.2 km2","1,816 per sq mi
701 km−2",35.9709°N 83.9465°W
130,Port St. Lucie,Florida,"185,132","164,603",+12.47%,"114.0 sq mi
295.1 km2","1,444 per sq mi
558 km−2",27.2810°N 80.3838°W
131,Worcester,Massachusetts,"184,508","181,045",+1.91%,"37.4 sq mi
96.8 km2","4,845 per sq mi
1,870 km−2",42.2695°N 71.8078°W
132,Brownsville,Texas,"183,823","175,023",+5.03%,"132.3 sq mi
342.7 km2","1,323 per sq mi
511 km−2",26.0183°N 97.4538°W
133,Tempe,Arizona,"182,498","161,719",+12.85%,"39.9 sq mi
103.4 km2","4,050 per sq mi
1,564 km−2",33.3884°N 111.9318°W
134,Santa Clarita,California,"181,972","176,320",+3.21%,"52.7 sq mi
136.5 km2","3,345 per sq mi
1,291 km−2",34.4049°N 118.5047°W
135,Newport News[16],Virginia,"181,825","180,719",+0.61%,"68.7 sq mi
178.0 km2","2,630 per sq mi
1,015 km−2",37.0760°N 76.5217°W
136,Cape Coral,Florida,"179,804","154,305",+16.53%,"105.7 sq mi
273.7 km2","1,460 per sq mi
564 km−2",26.6431°N 81.9973°W
137,Providence,Rhode Island,"179,219","178,042",+0.66%,"18.4 sq mi
47.7 km2","9,676 per sq mi
3,736 km−2",41.8231°N 71.4188°W
138,Fort Lauderdale,Florida,"178,752","165,521",+7.99%,"34.8 sq mi
90.0 km2","4,761 per sq mi
1,838 km−2",26.1413°N 80.1439°W
139,Chattanooga,Tennessee,"177,571","167,674",+5.90%,"137.2 sq mi
355.2 km2","1,223 per sq mi
472 km−2",35.0665°N 85.2471°W
140,Rancho Cucamonga,California,"176,534","165,269",+6.82%,"39.9 sq mi
103.2 km2","4,147 per sq mi
1,601 km−2",34.1233°N 117.5642°W
141,Oceanside,California,"175,464","167,086",+5.01%,"41.2 sq mi
106.8 km2","4,052 per sq mi
1,565 km−2",33.2246°N 117.3062°W
142,Santa Rosa,California,"175,155","167,815",+4.37%,"41.3 sq mi
107.0 km2","4,064 per sq mi
1,569 km−2",38.4468°N 122.7061°W
143,Garden Grove,California,"174,858","170,883",+2.33%,"17.9 sq mi
46.5 km2","9,525 per sq mi
3,677 km−2",33.7788°N 117.9605°W
144,Vancouver,Washington,"174,826","161,791",+8.06%,"46.5 sq mi
120.3 km2","3,483 per sq mi
1,345 km−2",45.6372°N 122.5965°W
145,Sioux Falls,South Dakota,"174,360","153,888",+13.30%,"73.0 sq mi
189.0 km2","2,109 per sq mi
814 km−2",43.5383°N 96.7320°W
146,Ontario,California,"173,212","163,924",+5.67%,"49.9 sq mi
129.3 km2","3,282 per sq mi
1,267 km−2",34.0395°N 117.6088°W
147,McKinney,Texas,"172,298","131,117",+31.41%,"62.2 sq mi
161.1 km2","2,108 per sq mi
814 km−2",33.2012°N 96.6680°W
148,Elk Grove,California,"169,743","153,015",+10.93%,"42.2 sq mi
109.3 km2","3,627 per sq mi
1,400 km−2",38.4144°N 121.3849°W
149,Jackson,Mississippi,"169,148","173,514",−2.52%,"111.0 sq mi
287.6 km2","1,563 per sq mi
603 km−2",32.3158°N 90.2128°W
150,Pembroke Pines,Florida,"168,587","154,019",+9.46%,"33.1 sq mi
85.8 km2","4,672 per sq mi
1,804 km−2",26.0212°N 80.3404°W
151,Salem,Oregon,"167,419","154,637",+8.27%,"47.9 sq mi
124.0 km2","3,229 per sq mi
1,247 km−2",44.9237°N 123.0231°W
152,Springfield,Missouri,"167,319","159,498",+4.90%,"81.7 sq mi
211.7 km2","1,952 per sq mi
754 km−2",37.1942°N 93.2913°W
